,上映日期,分类,国家,导演演员,标题,简评,评分,评论人数
64,2016 , 剧情犯罪悬疑惊悚, 西班牙 ,导演:奥里奥尔·保罗OriolPaulo   主演:马里奥·卡萨斯MarioCasas/阿,看不见的客人,你以为你以为的就是你以为的。,8.8,380902人
65,1965 , 剧情传记爱情歌舞, 美国 ,导演:RobertWise   主演:朱丽·安德鲁斯JulieAndrews/克里斯托弗·普,音乐之声,用音乐化解仇恨，让歌声串起美好。,8.9,251811人
66,1995 , 动作传记剧情历史战争, 美国 ,导演:梅尔·吉布森MelGibson   主演:梅尔·吉布森MelGibson/苏菲·玛,勇敢的心,史诗大片的典范。,8.8,315753人
67,1990 , 剧情奇幻爱情, 美国 ,导演:TimBurton   主演:约翰尼·德普JohnnyDepp/薇诺娜·瑞德Winona,剪刀手爱德华,浪漫忧郁的成人童话。,8.7,524693人
68,2008 , 剧情爱情奇幻, 美国 ,导演:大卫·芬奇DavidFincher   主演:凯特·布兰切特CateBlanchett/,本杰明·巴顿奇事,在时间之河里感受溺水之苦。,8.8,426870人
69,1994 , 剧情喜剧犯罪, 美国 ,导演:昆汀·塔伦蒂诺QuentinTarantino   主演:约翰·特拉沃尔塔JohnTra,低俗小说,故事的高级讲法。,8.8,365953人
70,2000 , 剧情战争情色, 意大利美国 ,导演:朱塞佩·托纳多雷GiuseppeTornatore   主演:莫妮卡·贝鲁奇Monica,西西里的美丽传说,美丽无罪。,8.7,386725人
71,1999 , 动作科幻, 美国澳大利亚 ,导演:安迪·沃卓斯基AndyWachowski/拉娜·沃卓斯基LanaWachowski   主,黑客帝国,视觉革命。,8.8,308114人
72,1998 , 剧情历史战争, 美国 ,导演:史蒂文·斯皮尔伯格StevenSpielberg   主演:汤姆·汉克斯TomHanks,拯救大兵瑞恩,美利坚精神输出大片No1.,8.9,263114人
73,1991 , 剧情犯罪惊悚, 美国 ,导演:乔纳森·戴米JonathanDemme   主演:朱迪·福斯特JodieFoster/安,沉默的羔羊,安东尼·霍普金斯的顶级表演。,8.7,384581人
74,2008 , 剧情, 日本 ,导演:泷田洋二郎YôjirôTakita   主演:本木雅弘MasahiroMotoki/,入殓师,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,8.8,339071人
75,2004 , 剧情悬疑科幻惊悚, 美国加拿大 ,导演:埃里克·布雷斯EricBress/J·麦基·格鲁伯J.MackyeGruber   主,蝴蝶效应,人的命运被自己瞬间的抉择改变。,8.7,415277人
76,2010 , 剧情喜剧动作西部, 中国大陆香港 ,导演:姜文WenJiang   主演:姜文WenJiang/葛优YouGe/周润发Yun-F,让子弹飞,你给我翻译翻译，神马叫做TMD的惊喜。,8.7,678988人
